회사명,corp_eng_name,종목코드,is_defaulted
한화에이스기업인수목적2호,"Hanwha Ace Special Purpose Acquisition 2nd Co., LTD.",219860,0
한화에어로스페이스,"HANWHA AEROSPACE CO., LTD.",012450,0
한화에스비아이기업인수목적,"Hanwha Sbi Special Purpose Acquisition Co., Ltd.",317320,0
한화에스브이명장제1호기업인수목적,Hanwha SV Meister 1st SPAC,124050,0
한화시스템,"HANWHA SYSTEMS Co., Ltd.",272210,0
한화수성기업인수목적,"Hanwha Susung Special Purpose Acquisition CO,.LTD",265920,0
한화솔루션,HANWHA SOLUTIONS CORPORATION,009830,0
한화손해보험,"Hanwha General Insurance Co., Ltd.",000370,0
한화생명,"HANWHA LIFE INSURANCE CO., LTD.",088350,0
한화비전,"Hanwha Vision CO.,LTD",489790,0
한화리츠,"Hanwha REIT Co., Ltd.",451800,0
한화갤러리아타임월드,"Hanwha Galleria Timeworld Co., Ltd.",027390,0
한화갤러리아,HANWHA GALLERIA CORPORATION,452260,0
한화,HANWHA CORP,000880,0
한프,HANP INC,066110,0
한텔,Hantel Co. Ltd,041940,0
한텍,HANTECH LTD.,098070,0
한탑,Hantop Inc.,002680,0
한켐,"HANCHEM CO.,LTD",457370,0
한컴지엠디,Hancom GMD Inc.,077280,0
한컴위드,Hancom WITH Inc.,054920,0
한컴라이프케어,Hancom Lifecare Inc.,372910,0
한창제지,"HANCHANG PAPER CO.,LTD",009460,0
한창산업,"HanchangIndustryCo.,Ltd.",079170,0
한창,HANCHANG CORPORATION,005110,0
한진해운,"HANJIN SHIPPING CO., LTD.",117930,0
한진피앤씨,"Hanjin P&C CO., LTD",061460,0
한진칼,HANJINKAL,180640,0
한진중공업홀딩스,"HANJIN HEAVY IND. & CONST. HOLDINGS CO., LTD",003480,0
한진,"HANJIN TRANSPORTATION CO.,LTD",002320,0
한중엔시에스,"HanJungNCS.Co.,Ltd",107640,0
한주에이알티,"HANJOO ART Co.,LTD.",058450,0
한주라이트메탈,"HANJOO LIGHT METAL CO., LTD.",198940,0
한전산업,"Korea Electronic Power Industrial Development Co., Ltd",130660,0
